Skill,Gain,Pleasure,Avoidance,Boredom,Difficulty,Necessity,Time,Priority,Discomfort,Focus,Energy,Passive Or Active
Eye Contact,4,2,1,3,3,2,1,2,5,60,15,A
Getting Rejected,4,1,2,2,4,2,2,2,5,60,25,A
Saying no and disagreeing,4,3,2,2,4,2,2,3,5,60,25,A
Voice Modification,3,3,1,2,4,2,3,2,3,60,50,A
1 on 1 Conversation,4,2,1,2,4,3,3,3,5,60,50,A
Flirting,4,2,2,2,5,2,3,2,5,60,50,A
Compliments,4,3,2,2,4,2,2,2,5,60,25,A
Reading the Room,3,2,1,2,3,2,2,2,2,40,25,A
hint taking,3,2,1,2,3,2,2,2,2,40,25,A
dealing with and ignoring shame,4,3,1,1,3,3,3,3,2,40,50,A
Texting,4,3,2,3,4,2,3,2,4,60,50,A
Interviews/ Selling yourself,4,3,1,2,3,3,3,3,4,40,50,A
Other Languages,3,2,1,3,4,3,3,3,4,60,70,A
Manipulation,4,4,1,1,4,3,3,3,3,60,50,A
Body Language,3,3,1,2,2,2,2,3,3,40,25,A
Game/Pick Up,3,4,2,1,5,3,4,2,4,60,50,A
Dealing with Awkardness,4,4,1,1,4,3,3,3,3,40,50,A
,,,,,,,,,,,,
Learning to Drive,3,2,1,3,4,3,4,3,5,80,70,A
write a Resume,3,2,1,3,2,3,3,3,3,60,50,A
School(Doing Homework),4,2,1,4,4,5,5,5,5,80,140,A
Programming,4,3,1,3,4,4,4,4,4,60,70,A
Hacking,4,3,1,3,4,4,4,4,4,60,70,A
Volunteering/Interships/Certificates,4,3,1,3,3 srructured,4,4,4,5,60,70,A
Setting Up Forms of Passive Income,4,3,1,2,5,3,3,3,3,60,50,A
Bank Account,3,2,1,3,2,3,3,3,3,60,50,A
Work with others,3,2,2,2,3,2,3,2,5,60,50,A
Budgeting,3,3,1,2,3,2,3,2,2,60,50,A
Asking for a promotion,3,3,2,2,2,2,3,2,2,40,50,A
,,,,,,,,,,,,
Anime,2,4,3,1,1,1,2,1,1,20,25,A
Games,2,4,4,1,1,1,5,1,1,20,140,A/P
,,,,,,,,,,,,
Meditation,3,3,2,5,5,3,2,3,4,100,25,A
Prayer,2,3,2,5,2,3,2,3,3,60,25,A
Nofap,5,3,1,4,5,5,5,5,5,80,140,P
Brainwaves,2,2,1,5,2,3,2,3,2,60,25,P/A
Psychoanalysis,3,4,2,1,4,3,3,3,2,40,50,A
Journalling,4,4,2,1,2,3,3,3,2,40,50,A
Planning,4,4,2,1,3,3,3,3,2,40,50,A
Subconscious Programming,3,3,1,5,2,3,3,3,2,60,50,P/A
,,,,,,,,,,,,
Fapping,1,5,5,1,1,1,2,1,1,20,100,A
Eating,2,4,2,3,2,3,3,3,2,40,50,A
Cleaning,2,3,2,2,2,2,2,2,2,20,25,P/A
Skin Care,3,3,1,2,1,3,3,3,1,40,50,A
Teeth,2,3,1,2,1,3,1,3,1,20,15,A
Working Out,3,3,2,2,3,2,3,2,3,60,50,A
Youtube,1,5,4,4,1,2,5,2,2,60,140,A/P
Magic,3,3,2,3,3,2,3,2,2,60,50,A
